2026-08-27 10:59:33,402 | INFO | __main__ | Agente lanzado: Agentes.simplificador_agente:app en puerto 8001 (pid 7244)
2026-08-27 10:59:33,413 | INFO | __main__ | Agente lanzado: Agentes.critico_agente:app en puerto 8002 (pid 12996)
2026-08-27 10:59:33,425 | INFO | __main__ | Agente lanzado: Agentes.supervisor_agente:app en puerto 8003 (pid 6740)
2026-08-27 10:59:33,437 | INFO | __main__ | Agente lanzado: Agentes.definicion_agente:app en puerto 8004 (pid 12484)
2026-08-27 10:59:33,447 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_sintactico:app en puerto 8005 (pid 12544)
2026-08-27 10:59:33,458 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_estructural:app en puerto 8006 (pid 1696)
2026-08-27 10:59:33,493 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_lexico:app en puerto 8007 (pid 14708)
2026-08-27 10:59:33,505 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_sintactico:app en puerto 8008 (pid 3328)
2026-08-27 10:59:33,516 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_estructural:app en puerto 8009 (pid 12116)
2026-08-27 10:59:33,527 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_lexico:app en puerto 8010 (pid 13536)
2026-08-27 10:59:33,527 | INFO | __main__ | Esperando a que los agentes arranquen...
2026-08-27 10:59:37,547 | INFO | httpx | HTTP Request: GET http://localhost:8001/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:37,548 | INFO | __main__ | Agente 'simplificador' listo en http://localhost:8001
2026-08-27 10:59:37,812 | INFO | httpx | HTTP Request: GET http://localhost:8002/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:37,815 | INFO | __main__ | Agente 'critico' listo en http://localhost:8002
2026-08-27 10:59:38,078 | INFO | httpx | HTTP Request: GET http://localhost:8003/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:38,079 | INFO | __main__ | Agente 'supervisor' listo en http://localhost:8003
2026-08-27 10:59:38,343 | INFO | httpx | HTTP Request: GET http://localhost:8004/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:38,344 | INFO | __main__ | Agente 'definicion' listo en http://localhost:8004
2026-08-27 10:59:38,612 | INFO | httpx | HTTP Request: GET http://localhost:8005/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:38,612 | INFO | __main__ | Agente 'simplificador_oraciones' listo en http://localhost:8005
2026-08-27 10:59:38,874 | INFO | httpx | HTTP Request: GET http://localhost:8006/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:38,874 | INFO | __main__ | Agente 'simplificador_estructural' listo en http://localhost:8006
2026-08-27 10:59:39,147 | INFO | httpx | HTTP Request: GET http://localhost:8007/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:39,148 | INFO | __main__ | Agente 'simplificador_lexico' listo en http://localhost:8007
2026-08-27 10:59:39,411 | INFO | httpx | HTTP Request: GET http://localhost:8008/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:39,413 | INFO | __main__ | Agente 'critico_oraciones' listo en http://localhost:8008
2026-08-27 10:59:39,684 | INFO | httpx | HTTP Request: GET http://localhost:8009/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:39,685 | INFO | __main__ | Agente 'critico_estructural' listo en http://localhost:8009
2026-08-27 10:59:39,958 | INFO | httpx | HTTP Request: GET http://localhost:8010/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 10:59:39,959 | INFO | __main__ | Agente 'critico_lexico' listo en http://localhost:8010
2026-08-27 10:59:39,961 | INFO | __main__ | Todos los agentes están listos. API escuchando en http://localhost:8000
2026-08-27 11:00:09,725 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:00:09,727 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:01:13,354 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:01:13,356 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:02:16,736 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:02:16,737 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:03:51,739 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:03:51,742 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:03:51,849 | INFO | __main__ | Apagando agentes...
2026-08-27 11:07:49,113 | INFO | __main__ | Agente lanzado: Agentes.simplificador_agente:app en puerto 8001 (pid 2416)
2026-08-27 11:07:49,122 | INFO | __main__ | Agente lanzado: Agentes.critico_agente:app en puerto 8002 (pid 16760)
2026-08-27 11:07:49,132 | INFO | __main__ | Agente lanzado: Agentes.supervisor_agente:app en puerto 8003 (pid 14780)
2026-08-27 11:07:49,143 | INFO | __main__ | Agente lanzado: Agentes.definicion_agente:app en puerto 8004 (pid 12768)
2026-08-27 11:07:49,157 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_sintactico:app en puerto 8005 (pid 10804)
2026-08-27 11:07:49,170 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_estructural:app en puerto 8006 (pid 4328)
2026-08-27 11:07:49,182 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_lexico:app en puerto 8007 (pid 11572)
2026-08-27 11:07:49,191 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_sintactico:app en puerto 8008 (pid 8992)
2026-08-27 11:07:49,202 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_estructural:app en puerto 8009 (pid 18076)
2026-08-27 11:07:49,211 | INFO | __main__ | Agente lanzado: Agentes.agentes_critico.critico_lexico:app en puerto 8010 (pid 10036)
2026-08-27 11:07:49,211 | INFO | __main__ | Esperando a que los agentes arranquen...
2026-08-27 11:07:53,219 | INFO | httpx | HTTP Request: GET http://localhost:8001/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:53,221 | INFO | __main__ | Agente 'simplificador' listo en http://localhost:8001
2026-08-27 11:07:53,489 | INFO | httpx | HTTP Request: GET http://localhost:8002/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:53,490 | INFO | __main__ | Agente 'critico' listo en http://localhost:8002
2026-08-27 11:07:53,754 | INFO | httpx | HTTP Request: GET http://localhost:8003/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:53,755 | INFO | __main__ | Agente 'supervisor' listo en http://localhost:8003
2026-08-27 11:07:54,023 | INFO | httpx | HTTP Request: GET http://localhost:8004/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:54,024 | INFO | __main__ | Agente 'definicion' listo en http://localhost:8004
2026-08-27 11:07:54,289 | INFO | httpx | HTTP Request: GET http://localhost:8005/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:54,290 | INFO | __main__ | Agente 'simplificador_oraciones' listo en http://localhost:8005
2026-08-27 11:07:54,557 | INFO | httpx | HTTP Request: GET http://localhost:8006/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:54,558 | INFO | __main__ | Agente 'simplificador_estructural' listo en http://localhost:8006
2026-08-27 11:07:54,831 | INFO | httpx | HTTP Request: GET http://localhost:8007/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:54,832 | INFO | __main__ | Agente 'simplificador_lexico' listo en http://localhost:8007
2026-08-27 11:07:55,114 | INFO | httpx | HTTP Request: GET http://localhost:8008/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:55,115 | INFO | __main__ | Agente 'critico_oraciones' listo en http://localhost:8008
2026-08-27 11:07:55,390 | INFO | httpx | HTTP Request: GET http://localhost:8009/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:55,391 | INFO | __main__ | Agente 'critico_estructural' listo en http://localhost:8009
2026-08-27 11:07:55,669 | INFO | httpx | HTTP Request: GET http://localhost:8010/.well-known/agent.json "HTTP/1.1 200 OK"
2026-08-27 11:07:55,671 | INFO | __main__ | Agente 'critico_lexico' listo en http://localhost:8010
2026-08-27 11:07:55,673 | INFO | __main__ | Todos los agentes están listos. API escuchando en http://localhost:8000
2026-08-27 11:08:04,100 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:08:04,102 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:08:11,903 | INFO | httpx | HTTP Request: POST http://localhost:8003/tasks/send "HTTP/1.1 200 OK"
2026-08-27 11:08:11,906 | ERROR | __main__ | Error en la tarea: El agente http://localhost:8002 falló: No se ha podido obtener ningún informe crítico.
2026-08-27 11:08:12,022 | INFO | __main__ | Apagando agentes...
2026-08-27 11:09:54,022 | INFO | __main__ | Agente lanzado: Agentes.simplificador_agente:app en puerto 8001 (pid 20916)
2026-08-27 11:09:54,032 | INFO | __main__ | Agente lanzado: Agentes.critico_agente:app en puerto 8002 (pid 4940)
2026-08-27 11:09:54,042 | INFO | __main__ | Agente lanzado: Agentes.supervisor_agente:app en puerto 8003 (pid 8468)
2026-08-27 11:09:54,054 | INFO | __main__ | Agente lanzado: Agentes.definicion_agente:app en puerto 8004 (pid 14988)
2026-08-27 11:09:54,065 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_sintactico:app en puerto 8005 (pid 10196)
2026-08-27 11:09:54,076 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_estructural:app en puerto 8006 (pid 4032)
2026-08-27 11:09:54,086 | INFO | __main__ | Agente lanzado: Agentes.agentes_simplificacion.simplificador_lexico:app en puerto 8007 (pid 21940)
